date,category,description,amount
2026-01-02,Маркетинг,Дизайн баннеров,95905.85
2026-04-10,Маркетинг,Таргет ВКонтакте,98915.24
2026-05-01,IT,Техподдержка,57199.17
2026-05-27,Зарплаты,Оклад — дизайнер,141051.43
2026-01-24,Офис,Обеды для команды,4154.04
2026-06-19,Закупка товара,Закупка — расходники упаковка,117393.44
2026-06-26,IT,Техподдержка,74881.54
2026-06-21,Офис,Мебель,6440.22
2026-05-18,IT,Разработка сайта,63496.86
2026-03-02,Закупка товара,Закупка — поставщик Китай,204388.78
2026-04-20,Зарплаты,Подработка — сезон,136473.35
2026-05-31,IT,Техподдержка,78434.11
2026-03-17,Маркетинг,Email-рассылка,17336.65
2026-01-30,Зарплаты,Больничный,135966.59
2026-01-14,Зарплаты,Оклад — бухгалтер,89449.0
2026-05-18,Зарплаты,Оклад — маркетолог,79523.67
2026-03-12,Логистика,Возврат товара — доставка,7399.98
2026-02-13,Аренда,Аренда шоурума,127454.73
2026-02-17,Маркетинг,Яндекс.Директ,125298.02
2026-05-11,Зарплаты,Больничный,92980.99
2026-01-25,IT,Техподдержка,37048.96
2026-02-14,Маркетинг,Контент для соцсетей,88098.86
2026-04-27,IT,1С — обслуживание,72089.92
2026-02-19,Маркетинг,Реклама Telegram,145880.4
2026-01-08,IT,Антивирус — лицензия,77815.06
2026-06-26,Аренда,Аренда шоурума,180651.72
2026-05-08,Закупка товара,Закупка — допартия,219808.69
2026-05-01,IT,Домен — продление,25104.33
2026-04-19,IT,Телефония,36526.92
2026-06-26,Офис,Ремонт офиса,19584.76
2026-01-15,Офис,Мебель,10309.86
2026-03-09,Аренда,Аренда шоурума,128534.3
2026-06-30,Логистика,Экспресс-доставка,33715.97
2026-05-18,IT,Техподдержка,56959.96
2026-06-13,Логистика,Возврат товара — доставка,13691.55
2026-04-15,Офис,Мебель,10749.11
2026-01-08,Офис,Вода и кофе,1435.74
2026-01-09,Зарплаты,Премия квартальная,37238.03
2026-02-11,Логистика,Доставка СДЭК,38473.69
2026-04-16,IT,Телефония,41896.07
2026-03-11,Зарплаты,Больничный,29591.98
2026-02-18,IT,Домен — продление,20643.85
2026-02-11,Логистика,Международная доставка,30371.37
2026-02-25,IT,Техподдержка,53180.81
2026-04-01,Логистика,Доставка СДЭК,4059.86
2026-05-22,Зарплаты,Премия квартальная,113123.03
2026-04-11,Закупка товара,Закупка — расходники упаковка,158793.6
2026-01-23,Офис,Уборка офиса,13928.39
2026-06-28,Закупка товара,Закупка — сезонная коллекция,37056.08
2026-06-13,Офис,Вода и кофе,6706.16
2026-05-07,Закупка товара,Закупка — образцы,187699.15
2026-03-03,Зарплаты,Оклад — дизайнер,144838.41
2026-05-01,Закупка товара,Таможенные сборы,34579.84
2026-03-10,IT,1С — обслуживание,41097.3
2026-03-02,Закупка товара,Закупка — допартия,192861.77
2026-02-13,Аренда,Коммунальные услуги офис,85545.78
2026-03-28,Закупка товара,Закупка — допартия,145906.68
2026-05-26,Логистика,Экспресс-доставка,12882.73
2026-03-17,Офис,Новогодний корпоратив,12031.78
2026-04-16,Маркетинг,Промо-акция,22025.39
2026-03-25,Аренда,Парковка,174423.49
2026-01-03,Офис,Уборка офиса,8175.11
2026-03-19,Закупка товара,Закупка — поставщик РФ,221381.12
2026-04-19,IT,Хостинг сайта,77011.14
2026-06-28,Офис,Уборка офиса,3372.28
2026-03-10,Аренда,Парковка,72388.36
2026-04-12,Офис,Вода и кофе,9015.68
2026-04-25,Офис,Уборка офиса,630.44
2026-06-13,Маркетинг,Реклама Telegram,44860.1
2026-04-10,Закупка товара,Закупка — образцы,7192.12
2026-01-09,Зарплаты,Оклад — курьер,25030.32
2026-01-15,IT,Разработка сайта,18964.3
2026-03-19,Логистика,Транспортировка со склада,26033.56
2026-02-24,Аренда,Аренда офиса,217237.64
2026-03-12,Офис,Уборка офиса,21668.66
2026-01-29,Маркетинг,Блогер — интеграция,29895.11
2026-03-01,Закупка товара,Сертификация товара,296351.04
2026-06-08,Маркетинг,SEO-продвижение,125571.19
2026-01-17,IT,Хостинг сайта,4785.38
2026-02-22,Маркетинг,Реклама Telegram,129332.99
2026-06-29,IT,Домен — продление,17240.79
2026-03-27,Аренда,Коммунальные услуги офис,156654.0
2026-01-21,Маркетинг,Реклама Telegram,96452.22
2026-03-02,Закупка товара,Закупка — сезонная коллекция,324388.52
2026-01-15,Закупка товара,Закупка — допартия,258837.47
2026-05-26,Логистика,Экспресс-доставка,35027.85
2026-06-17,Зарплаты,Оклад — курьер,62817.59
2026-02-11,Зарплаты,Оклад — маркетолог,69979.06
2026-01-11,Логистика,Курьерская служба,34962.98
2026-04-13,Офис,Обеды для команды,9838.31
2026-02-20,Логистика,Возврат товара — доставка,20952.69
2026-02-20,IT,CRM — подписка,38992.88
2026-06-06,Зарплаты,Оклад — маркетолог,130846.58
2026-04-10,Закупка товара,Закупка — расходники упаковка,173919.95
2026-01-03,Логистика,Доставка СДЭК,10701.43
2026-02-02,Офис,Новогодний корпоратив,20274.54
2026-05-19,Логистика,Международная доставка,9524.91
2026-04-03,IT,Хостинг сайта,68327.65
2026-06-22,Маркетинг,Email-рассылка,118721.53
2026-01-22,Маркетинг,Дизайн баннеров,25086.7
2026-03-05,IT,Разработка сайта,15669.42
2026-06-03,Маркетинг,Яндекс.Директ,32620.17
2026-05-11,IT,CRM — подписка,8922.01
2026-05-22,Маркетинг,Промо-акция,36119.32
2026-01-01,IT,Хостинг сайта,29841.82
2026-01-20,Зарплаты,Оклад — кладовщик,126771.49
2026-01-22,Зарплаты,Оклад — маркетолог,166063.23
2026-05-20,IT,Домен — продление,38514.87
2026-03-31,Маркетинг,Реклама Telegram,16817.06
2026-03-29,Закупка товара,Сертификация товара,112727.08
2026-05-25,Офис,Новогодний корпоратив,22840.74
2026-06-15,Аренда,Парковка,163119.92
2026-03-17,Офис,Обеды для команды,4292.52
2026-04-17,IT,Телефония,22284.18
2026-01-06,Закупка товара,Закупка — образцы,117497.43
2026-02-05,Логистика,Транспортировка со склада,2269.17
2026-03-18,Аренда,Аренда склада,36884.68
2026-03-12,Аренда,Коммунальные услуги офис,73520.17
2026-04-20,Логистика,Доставка по Москве,22101.27
2026-03-17,Маркетинг,Дизайн баннеров,50997.85
2026-06-24,Закупка товара,Закупка — расходники упаковка,168124.81
2026-05-19,IT,CRM — подписка,2850.32
2026-06-11,Логистика,Доставка Почта России,11646.22
2026-02-18,Аренда,Аренда склада,108562.82
2026-05-05,Закупка товара,Закупка — сезонная коллекция,200319.03
2026-03-29,Закупка товара,Закупка — допартия,126367.24
2026-05-02,Офис,Обеды для команды,15084.16
2026-01-06,IT,Разработка сайта,72941.27
2026-05-06,Логистика,Возврат товара — доставка,30445.0
2026-04-05,Аренда,Коммунальные услуги склад,206700.98
2026-06-07,Зарплаты,Оклад — кладовщик,154222.43
2026-04-10,Зарплаты,Оклад — бухгалтер,161891.88
2026-04-27,Аренда,Аренда шоурума,152993.97
2026-06-22,Логистика,Транспортировка со склада,21923.05
2026-04-02,Офис,Вода и кофе,5084.23
2026-04-03,IT,Антивирус — лицензия,5929.62
2026-06-13,Аренда,Коммунальные услуги офис,111886.27
2026-03-16,Зарплаты,Оклад — маркетолог,152878.93
2026-06-03,Маркетинг,Промо-акция,143819.27
2026-06-22,Закупка товара,Закупка — допартия,46193.32
2026-05-08,Логистика,Транспортировка со склада,29409.71
2026-06-20,Маркетинг,Блогер — интеграция,23588.86
2026-03-03,Аренда,Аренда офиса,86692.01
2026-05-14,Офис,Вода и кофе,10211.06
2026-03-30,Зарплаты,Оклад — дизайнер,112832.68
2026-06-30,Закупка товара,Закупка — сезонная коллекция,116660.5
2026-06-22,Офис,Канцелярия,24989.52
2026-06-15,Маркетинг,Дизайн баннеров,108199.55
2026-02-17,IT,Хостинг сайта,51668.45
2026-02-08,Аренда,Парковка,107499.7
2026-05-31,IT,CRM — подписка,44953.29
2026-06-24,Логистика,Возврат товара — доставка,30914.01
2026-03-02,Зарплаты,Оклад — кладовщик,145222.91
2026-06-18,Маркетинг,Дизайн баннеров,138416.87
2026-04-05,IT,Телефония,22584.11
2026-04-08,Зарплаты,Оклад — менеджер,59789.51
2026-06-14,Аренда,Аренда склада,167096.26
2026-01-24,Закупка товара,Таможенные сборы,313120.44
2026-06-07,Логистика,Курьерская служба,4830.06
2026-01-20,Маркетинг,Дизайн баннеров,23388.33
2026-01-17,Логистика,Доставка Boxberry,20278.4
2026-05-05,Маркетинг,SEO-продвижение,52576.39
2026-02-12,Логистика,Экспресс-доставка,18402.41
2026-04-10,IT,1С — обслуживание,74124.7
2026-04-26,Закупка товара,Закупка — сезонная коллекция,327561.75
2026-02-23,Офис,Мебель,24743.64
2026-06-12,IT,Разработка сайта,47160.0
2026-05-07,Офис,Ремонт офиса,11942.57
2026-06-18,Зарплаты,Оклад — бухгалтер,96391.1
2026-01-13,Закупка товара,Таможенные сборы,36363.75
2026-02-23,Закупка товара,Закупка — поставщик РФ,9514.71
2026-01-08,Логистика,Возврат товара — доставка,41493.6
2026-03-26,IT,1С — обслуживание,63862.06
2026-02-22,Маркетинг,Реклама Telegram,118472.76
2026-01-20,IT,Антивирус — лицензия,40808.05
2026-06-07,Закупка товара,Закупка — образцы,52359.17
2026-05-12,Логистика,Экспресс-доставка,37901.87
2026-02-05,Аренда,Коммунальные услуги склад,192568.18
2026-02-16,Офис,Обеды для команды,3173.42
2026-01-24,Логистика,Доставка Почта России,37564.32
2026-04-01,Зарплаты,Подработка — сезон,78060.69
2026-04-24,Зарплаты,Оклад — курьер,51680.93
2026-05-13,Маркетинг,Реклама Telegram,60935.99
2026-01-14,IT,1С — обслуживание,56332.19
2026-03-20,Офис,Новогодний корпоратив,9908.92
2026-04-29,IT,Разработка сайта,11950.66
2026-06-21,Маркетинг,Промо-акция,84691.09
2026-02-17,Зарплаты,Оклад — бухгалтер,100098.61
2026-01-19,IT,Телефония,21329.59
2026-01-12,Офис,Новогодний корпоратив,13740.81
2026-05-02,Логистика,Курьерская служба,21309.46
2026-04-10,Логистика,Экспресс-доставка,17496.0
2026-05-10,Аренда,Коммунальные услуги склад,172961.96
